patch size = 51
search size = 21
similarity metric = "TM_CCOEFF_NORMED"

x_sensed y_sensed x_reference y_reference similarity
407 211 407 211 1
484 55 484 55 1
519 178 519 178 1
413 232 413 232 1
514 225 514 225 1
443 200 443 200 1
325 96 325 96 1
519 324 519 324 1
91 388 91 388 1
416 186 416 186 1
432 234 432 234 1
378 270 378 270 1
452 234 452 234 1
516 189 516 189 1
428 206 428 206 1
281 64 281 64 1
381 195 381 195 1
398 132 398 132 1
74 340 74 340 1
56 375 56 375 1
177 383 177 383 1
323 289 323 289 1
307 247 307 247 1
429 163 429 163 1
354 215 354 215 1
516 150 516 150 1
68 314 68 314 1
493 211 493 211 1
464 147 464 147 1
211 351 211 351 1
369 289 369 289 1
423 243 423 243 1
438 191 438 191 1
82 307 82 307 1
442 112 442 112 1
53 323 53 323 1
438 175 438 175 1
498 220 498 220 1
444 245 444 245 1
187 106 187 106 1
211 320 211 320 1
350 92 350 92 1
236 326 236 326 1
444 261 444 261 1
98 358 98 358 1
145 367 145 367 1
322 205 322 205 1
318 315 318 315 1
210 338 210 338 1
423 197 423 197 1
157 65 157 65 1
71 368 71 368 1
454 141 454 141 1
219 51 219 51 1
237 190 237 190 1
209 370 209 370 1
463 111 463 111 1
371 340 371 340 1
508 313 508 313 1
199 75 199 75 1
514 165 514 165 1
365 233 365 233 1
395 212 395 212 1
302 274 302 274 1
428 218 428 218 1
359 170 359 170 1
461 224 461 224 1
404 76 404 76 1
119 64 119 64 1
381 79 381 79 1
191 370 191 370 1
443 125 443 125 1
341 219 341 219 1
387 264 387 264 1
371 390 371 390 1
508 211 508 211 1
461 248 461 248 1
228 332 228 332 1
448 151 448 151 1
328 298 328 298 1
490 227 490 227 1
435 254 435 254 1
452 212 452 212 1
165 374 165 374 1
438 152 438 152 1
100 368 100 368 1
349 285 349 285 1
295 266 295 266 1
53 354 53 354 1
439 225 439 225 1
379 62 379 62 1
431 94 431 94 1
181 339 181 339 1
456 190 456 190 1
487 276 487 276 1
338 92 338 92 1
327 244 327 244 1
371 173 371 173 1
477 182 477 182 1
386 157 386 157 1
329 387 329 387 1
483 303 483 303 1
366 324 366 324 1
312 280 312 280 1
418 70 418 70 1
83 359 83 359 1
429 180 429 180 1
59 365 59 365 1
442 164 442 164 1
505 269 505 269 1
478 288 478 288 1
408 57 408 57 1
